event,year,track,title,authors,sol_link,pdf_url,file
SBRC,2026,principal,Ataques de Envenenamento de Rótulos contra a Detecção de Zero-Day em Sistemas de Detecção de Intrusão Colaborativos,"Giovanni H. M. de L. Siervo, Maria Eduarda S. Chessio, Silvio E. Quincozes, Daniel Mossé, Vagner E. Quincozes, Célio Albuquerque, Diego Passos",https://sol.sbc.org.br/index.php/sbrc/article/view/42294,https://sol.sbc.org.br/index.php/sbrc/article/download/42294/42061,SBRC/2026/principal/42294_Ataques-de-Envenenamento-de-Rotulos-contra-a-Deteccao-de-Zero-Day-em-Sistemas-de-Deteccao.pdf
SBRC,2026,estendido,AnonShield: Scalable On-Premise Pseudonymization for CSIRT Network Vulnerability Data,"Cristhian Kapelinski, Douglas Lautert, Beatriz Machado, Diego Kreutz, Isadora Garcia Ferrão",https://sol.sbc.org.br/index.php/sbrc_estendido/article/view/42580,https://sol.sbc.org.br/index.php/sbrc_estendido/article/download/42580/42347,SBRC/2026/estendido/42580_AnonShield-Scalable-On-Premise-Pseudonymization-for-CSIRT-Network-Vulnerability-Data.pdf
SBRC,2026,estendido,dsm2cli: An Observable Pipeline for Translating Network Intents into Multivendor CLI with Independent Semantic Assessment,"Jerônimo Menezes, Leonardo Bitzki, Diego Kreutz, Gefte Almeida, Marcio Pohlmann, Rodrigo Mansilha",https://sol.sbc.org.br/index.php/sbrc_estendido/article/view/42581,https://sol.sbc.org.br/index.php/sbrc_estendido/article/download/42581/42348,SBRC/2026/estendido/42581_dsm2cli-An-Observable-Pipeline-for-Translating-Network-Intents-into-Multivendor-CLI-with-I.pdf
SBRC,2026,estendido,From Red Flags to Detection Rules: An LLM-driven Pipeline for Real-Time GOOSE Intrusion Detection and Prevention,"Lucas A. Martins, Camilla B. Quincozes, Giovanni Siervo, Silvio E. Quincozes, Marcelo Caggiani Luizelli",https://sol.sbc.org.br/index.php/sbrc_estendido/article/view/42585,https://sol.sbc.org.br/index.php/sbrc_estendido/article/download/42585/42352,SBRC/2026/estendido/42585_From-Red-Flags-to-Detection-Rules-An-LLM-driven-Pipeline-for-Real-Time-GOOSE-Intrusion-Det.pdf
SBRC,2026,estendido,IoT-ID: Deterministic Device Identity from Hybrid Network Fingerprinting,"Anna Letycia, Joner Assolin, Diego Kreutz, Rodrigo Miani",https://sol.sbc.org.br/index.php/sbrc_estendido/article/view/42588,https://sol.sbc.org.br/index.php/sbrc_estendido/article/download/42588/42355,SBRC/2026/estendido/42588_IoT-ID-Deterministic-Device-Identity-from-Hybrid-Network-Fingerprinting.pdf
SBRC,2026,estendido,IoT-Zoo: A Container-Based Framework for Heterogeneous IoT Device Profiles and Reproducible Traffic Capture,"Vagner E. Quincozes, Diego Kreutz, Silvio E. Quincozes",https://sol.sbc.org.br/index.php/sbrc_estendido/article/view/42589,https://sol.sbc.org.br/index.php/sbrc_estendido/article/download/42589/42356,SBRC/2026/estendido/42589_IoT-Zoo-A-Container-Based-Framework-for-Heterogeneous-IoT-Device-Profiles-and-Reproducible.pdf
SBRC,2025,estendido,Cloud AutoDroid: Um Sistema Distribuído Escalável para Execução de Ferramentas de IA Generativa,"Luiz Felipe Laviola, Diego Kreutz, Rodrigo Brandão Mansilha",https://sol.sbc.org.br/index.php/sbrc_estendido/article/view/35867,https://sol.sbc.org.br/index.php/sbrc_estendido/article/download/35867/35654,SBRC/2025/estendido/35867_Cloud-AutoDroid-Um-Sistema-Distribuido-Escalavel-para-Execucao-de-Ferramentas-de-IA-Genera.pdf
SBRC,2025,estendido,VulnSyncAI: PLN e LLMs para Construção e Atualização Contínua de Datasets de Vulnerabilidades,"Douglas Rodrigues Fideles, Douglas Paim Lautert, Diego Kreutz, Silvio Ereno Quincozes",https://sol.sbc.org.br/index.php/sbrc_estendido/article/view/35868,https://sol.sbc.org.br/index.php/sbrc_estendido/article/download/35868/35655,SBRC/2025/estendido/35868_VulnSyncAI-PLN-e-LLMs-para-Construcao-e-Atualizacao-Continua-de-Datasets-de-Vulnerabilidad.pdf
SBRC,2025,estendido,TrueState-SNA: Uma Solução Baseada em SSoT para Automação de Redes Heterogêneas,"Jerônimo Menezes, Diego Kreutz, Rodrigo Brandão Mansilha",https://sol.sbc.org.br/index.php/sbrc_estendido/article/view/35869,https://sol.sbc.org.br/index.php/sbrc_estendido/article/download/35869/35656,SBRC/2025/estendido/35869_TrueState-SNA-Uma-Solucao-Baseada-em-SSoT-para-Automacao-de-Redes-Heterogeneas.pdf
ERRC,2025,principal,Prefácio e Organização,"Eder John Scheid, Muriel Figueredo Franco, Luís Augusto Dias Knob, Rodrigo Mansilha",https://sol.sbc.org.br/index.php/errc/article/view/40435,https://sol.sbc.org.br/index.php/errc/article/download/40435/40204,ERRC/2025/principal/40435_Prefacio-e-Organizacao.pdf
